Gene,Importance
221417_x_at,0.08137652446771867
205511_at,0.047295912343499266
214489_at,0.04275451019913438
217957_at,0.030381544836456293
206228_at,0.025207459273082596
215869_at,0.02514575886242955
206443_at,0.023760671856357125
211589_at,0.022280608882290543
206382_s_at,0.02196399909527951
215766_at,0.02043510494975567
220637_at,0.019935299136774127
210335_at,0.019598211306072717
219405_at,0.01904972727712566
220906_at,0.01692003622349306
219388_at,0.016751740798631575
202522_at,0.013493569914772043
207705_s_at,0.012155058919912944
207115_x_at,0.010384070433893992
208098_at,0.009094415184283267
220824_at,0.007494944665341808
214414_x_at,0.004703377871720069
221753_at,0.0030463430233367366
215033_at,0.0023950054209143246
213963_s_at,0.0010579334803042407
207911_s_at,0.0
207912_s_at,0.0
207888_at,0.0
207913_at,0.0
207914_x_at,0.0
207910_at,0.0
207915_at,0.0
207916_at,0.0
